EN	CN
Dungeons and Dragons	龙与地下城
Neverwinter	无冬，无冬城
The Forgotten Realms	被遗忘的国度
Aasimar	阿斯莫
Abbathor	阿巴索
Abbey of the Sword	宝剑修道院
Abeir	阿贝尔
Aberrant	异界生物
Ability Score	属性值
Aboleth	底栖魔鱼
Aboleth Lasher	底栖魔鱼鞭笞者
Aboleth Overseer	底栖魔鱼督触者
Aboleth Servitor	底栖魔鱼仆役
Aboleth Slime Mage	底栖魔鱼黏巫
Abolethic Sovereignty	底栖帝国
Abomination	神孽
Abyss	无底深渊
Abyssal	深渊语
Abyssal Ghoul	深渊食尸鬼
Abyssal Ghoul Hungerer	深渊食尸鬼·饿死鬼
Abyssal Ghoul Myrmidon	深渊食尸鬼·凶鬼
AC	防具级数
Acid	强酸
Acrobatics	杂技
Action Point	行动点
Action Point Meter	行动槽
Action Surge	活力四射
Action Type	动作类型
Addemios Three-Dawn	阿德缪斯·三晓
Adder Swamp	蝰蛇沼泽
Adimond Kroskas	阿蒂蒙德·克洛斯卡斯
Adult Black Dragon	成年黑龙
Adult Blue Dragon	成年蓝龙
Adventurer	冒险者
Adventuring Gear	冒险装备
Aencar	艾安卡
Aencar's Manor	艾安卡庄园
Aerdrie Faenya	埃尔德瑞·费恩雅
Aerlyse	艾尔利斯
Afterlife	死后归宿
Aganazzar	阿格纳萨
Age	年龄
Agile Hunter	机敏猎手
Aglarond	阿戈拉隆
agriculture and industry	农业与工业
Airspur	风棘城
Akadi	阿卡迪
Akanamere, the	阿肯那湖
Akanapeaks	阿肯那山脉
Akanax	阿肯那克斯城
Alaghon	阿拉贡
Alamber Sea	阿兰勃内海
Alaor	亚劳省
Alaron	阿拉隆岛
Alchemy	炼金
Alertness	警觉
Alignment	阵营
Alisara Callum	艾丽萨拉·卡伦
All-Father	万物之父
Almraiven	阿姆瑞文
Alorgoth, Bringer of Doom	“末日使者”阿洛苟斯
Altumbel	奥屯贝尔
Alusair Obarskyr	雅卢赛儿?欧拜斯齐尔
